Time=260878 X=-10250.5 Y=15817.5
Time=261894 X=-10179 Y=16200
Time=262877 X=-10069.5 Y=16256.5
Time=263950 X=-9837.39 Y=15917.3
Time=264927 X=-9626.04 Y=15608.5
Time=266036 X=-9386.13 Y=15257.9
Time=267026 X=-9171.42 Y=14944.2
Time=268038 X=-8951.22 Y=14622.4
Time=268994 X=-8759.02 Y=14323.9
Time=270074 X=-8656.54 Y=13992.6
Time=271137 X=-8505.06 Y=13636.6
Time=272188 X=-8383.71 Y=13304.1
Time=273356 X=-8230.33 Y=12883.8
Time=274350 X=-8070.44 Y=12541.6
Time=275356 X=-8066.62 Y=12536.3
Time=276341 X=-8066.62 Y=12536.3
Time=277433 X=-8066.62 Y=12536.3
Time=278469 X=-8066.62 Y=12536.3
Time=279460 X=-8066.62 Y=12536.3
Time=280505 X=-8066.62 Y=12536.3
Time=281541 X=-8066.62 Y=12536.3
Time=282564 X=-8066.62 Y=12536.3
Time=283576 X=-8066.62 Y=12536.3
Time=284600 X=-8066.62 Y=12536.3
Time=285606 X=-8230.04 Y=12881.7
Time=286620 X=-8363.79 Y=13246.4
Time=287646 X=-8499.12 Y=13615.3
Time=288681 X=-8632.6 Y=13979.2
Time=289696 X=-8757.77 Y=14298.3
Time=290711 X=-8716.54 Y=14208.1
Time=291713 X=-8611.95 Y=13930.3
Time=292756 X=-8474.04 Y=13552.2
Time=293776 X=-8339.17 Y=13182.4
Time=294810 X=-8202.44 Y=12807.5
Time=295852 X=-8006.76 Y=12460.8
Time=296814 X=-7998.44 Y=12449.8
Time=297902 X=-7881.35 Y=12156
Time=298881 X=-7742.53 Y=11807.6
Time=299913 X=-7596.2 Y=11440.4
Time=300943 X=-7450.16 Y=11073.9
Time=301958 X=-7306.24 Y=10712.7
Time=303002 X=-7158.21 Y=10341.2
Time=304015 X=-7014.57 Y=9980.77
Time=305049 X=-6867.96 Y=9612.84
Time=306089 X=-6733.76 Y=9276.06
Time=307104 X=-6599.66 Y=8939.53
Time=308113 X=-6583.43 Y=8625.77
Time=309137 X=-6926.52 Y=8435.67
Time=310171 X=-7279.09 Y=8255.43
Time=311128 X=-7618.06 Y=8116.21
Time=312235 X=-8024.22 Y=7995.02
Time=313230 X=-8374.82 Y=7847.66
Time=314251 X=-8492 Y=7789
Time=315281 X=-8260.25 Y=7724.09
Time=316296 X=-8070.86 Y=7667.42
Time=317315 X=-8052 Y=7671
Time=318290 X=-8052 Y=7671
Time=319395 X=-8052 Y=7671
Time=320411 X=-8052 Y=7671
Time=321410 X=-8052 Y=7671
Time=322453 X=-8052 Y=7671
Time=323443 X=-8052 Y=7671
Time=324475 X=-8052 Y=7671
Time=325488 X=-8052 Y=7671
Time=326514 X=-7949.92 Y=7601.71
Time=327541 X=-7720 Y=7517.18
Time=328552 X=-7940.22 Y=7547.41
Time=329538 X=-8216.6 Y=7482.62
Time=330643 X=-8518.66 Y=7402.58
Time=331638 X=-8518.66 Y=7402.58
Time=332646 X=-8518.66 Y=7402.58
Time=333675 X=-8518.66 Y=7402.58
Time=334684 X=-8518.66 Y=7402.58
Time=335717 X=-8518.66 Y=7402.58
Time=336784 X=-8347.19 Y=7314.87
Time=337808 X=-7991.86 Y=7148.77
Time=338795 X=-7649.38 Y=6988.66
Time=339786 X=-7383.16 Y=6864.21
Time=340803 X=-7030.27 Y=6699.24
Time=341806 X=-6682.23 Y=6536.54
Time=342811 X=-6333.5 Y=6373.52
Time=343858 X=-5970.19 Y=6203.68
Time=344829 X=-5633.26 Y=6046.17
Time=345899 X=-5435.67 Y=5959.15
Time=346894 X=-5757.33 Y=6163.58
Time=347909 X=-6071.07 Y=6339.09
Time=348933 X=-6369.27 Y=6484.75
Time=349948 X=-6678.9 Y=6635.21
Time=351020 X=-7007.76 Y=6853.46
Time=352032 X=-7321.96 Y=7080.48
Time=353057 X=-7640.2 Y=7310.42
Time=354093 X=-7881.77 Y=7471.17
Time=355113 X=-8115.18 Y=7649.54
Time=356143 X=-8176.51 Y=7696.4
Time=357125 X=-7958.43 Y=7875.66
Time=358227 X=-7632.33 Y=8143.69
Time=359233 X=-7334.65 Y=8388.37
Time=360264 X=-7029.56 Y=8639.13
Time=361294 X=-6724.77 Y=8889.64
Time=362308 X=-6424.72 Y=9136.27
Time=363324 X=-6124.08 Y=9383.38
Time=364340 X=-5849.72 Y=9594.57
Time=365356 X=-5586.53 Y=9812.51
Time=366347 X=-5294.16 Y=10054.6
Time=367406 X=-4981.73 Y=10313.3
Time=368415 X=-4689.36 Y=10555.4
Time=369431 X=-4389.62 Y=10803.6
Time=370440 X=-4091.94 Y=11050.1
Time=371454 X=-3792.79 Y=11297.8
Time=372463 X=-3510 Y=11532
