Time=3109034 X=307.378 Y=2121.42
Time=3110225 X=315.623 Y=1717.19
Time=3111228 X=269.171 Y=1335.82
Time=3112180 X=225.08 Y=973.838
Time=3113232 X=176.358 Y=573.836
Time=3114266 X=128.47 Y=180.679
Time=3115185 X=94.4919 Y=-98.2782
Time=3116307 X=46.1593 Y=-495.084
Time=3117289 X=0.679405 Y=-868.469
Time=3118291 X=-45.7268 Y=-1249.46
Time=3119278 X=-64.0102 Y=-1441.79
Time=3120282 X=45.5208 Y=-1073.15
Time=3121289 X=155.379 Y=-703.4
Time=3122342 X=270.256 Y=-316.764
Time=3123341 X=379.241 Y=50.0446
Time=3124383 X=492.918 Y=432.642
Time=3125398 X=578 Y=719
Time=3126483 X=509.216 Y=1086.31
Time=3127443 X=459.038 Y=1450.59
Time=3128398 X=410.094 Y=1805.91
Time=3129479 X=363.46 Y=2144.45
Time=3130460 X=316 Y=2489
Time=3131489 X=212.291 Y=2176.01
Time=3132515 X=78.9517 Y=1806.33
Time=3133560 X=-56.8571 Y=1429.79
Time=3134572 X=-188.377 Y=1065.15
Time=3135587 X=-320.287 Y=699.426
Time=3136632 X=-456.096 Y=322.893
Time=3137623 X=-573.182 Y=-1.7303
Time=3138682 X=-710.81 Y=-383.308
Time=3139731 X=-847.139 Y=-761.283
Time=3140651 X=-966.703 Y=-1092.78
Time=3141815 X=-1134.54 Y=-1230.87
Time=3142836 X=-1520.06 Y=-1296.58
Time=3143833 X=-1897.53 Y=-1356.32
Time=3144834 X=-2277.02 Y=-1411.07
Time=3145839 X=-2625.78 Y=-1483.42
Time=3146897 X=-2984.02 Y=-1560.37
Time=3147899 X=-3362.09 Y=-1641.59
Time=3148906 X=-3742.04 Y=-1723.21
Time=3150012 X=-3984.7 Y=-1942.05
Time=3150983 X=-3984.7 Y=-1942.05
Time=3151985 X=-3984.7 Y=-1942.05
Time=3153013 X=-3984.7 Y=-1942.05
Time=3153990 X=-3984.7 Y=-1942.05
Time=3155038 X=-3984.7 Y=-1942.05
Time=3156128 X=-3984.7 Y=-1942.05
Time=3157226 X=-3984.7 Y=-1942.05
Time=3158306 X=-3984.7 Y=-1942.05
Time=3159264 X=-3984.7 Y=-1942.05
Time=3160364 X=-3984.7 Y=-1942.05
Time=3161365 X=-3984.7 Y=-1942.05
Time=3162404 X=-3984.7 Y=-1942.05
Time=3163427 X=-3984.7 Y=-1942.05
Time=3164493 X=-3956.22 Y=-1913.92
Time=3165486 X=-3746.92 Y=-1722.43
Time=3166490 X=-3546.97 Y=-1662.95
Time=3167556 X=-3546.97 Y=-1662.95
Time=3168616 X=-3546.97 Y=-1662.95
Time=3169629 X=-3546.97 Y=-1662.95
Time=3170641 X=-3546.97 Y=-1662.95
Time=3171726 X=-3546.97 Y=-1662.95
Time=3172719 X=-3546.97 Y=-1662.95
Time=3173787 X=-3546.97 Y=-1662.95
Time=3174936 X=-3546.97 Y=-1662.95
Time=3175905 X=-3546.97 Y=-1662.95
Time=3176878 X=-3546.97 Y=-1662.95
Time=3177981 X=-3546.97 Y=-1662.95
Time=3178924 X=-3259.32 Y=-1561.46
Time=3180050 X=-3195 Y=-1538
Time=3181072 X=-3195 Y=-1538
Time=3182104 X=-3195 Y=-1538
Time=3183080 X=-3338.67 Y=-1591
Time=3184128 X=-3720.92 Y=-1713.58
Time=3185078 X=-4040.35 Y=-1886.43
Time=3186203 X=-4358.91 Y=-2071.24
Time=3187174 X=-4652.83 Y=-2241.76
Time=3188317 X=-5068.95 Y=-2357.9
Time=3189237 X=-5416.63 Y=-2415.37
Time=3190336 X=-5831.96 Y=-2484.01
Time=3191282 X=-6189.47 Y=-2543.1
Time=3192347 X=-6254.37 Y=-2553.82
Time=3193375 X=-5962.27 Y=-2505.55
Time=3194378 X=-5677.27 Y=-2458.44
Time=3195429 X=-5378.64 Y=-2409.09
Time=3196407 X=-5021.32 Y=-2350.03
Time=3197437 X=-4648.39 Y=-2239.19
Time=3198350 X=-4345.89 Y=-2063.69
Time=3199474 X=-3973.49 Y=-1847.64
Time=3200532 X=-3602.76 Y=-1699.04
Time=3201660 X=-3492.97 Y=-1683.27
Time=3202709 X=-3694.29 Y=-1537.43
Time=3203739 X=-3944.93 Y=-1355.85
Time=3204730 X=-3948.99 Y=-1337.78
Time=3205826 X=-3937.52 Y=-1322.23
Time=3206831 X=-3928.08 Y=-1309.42
Time=3207850 X=-3918.31 Y=-1296.18
Time=3208885 X=-3908.94 Y=-1283.48
Time=3209927 X=-3900.53 Y=-1272.08
Time=3211009 X=-3892.03 Y=-1260.55
Time=3212038 X=-3884.78 Y=-1250.72
Time=3213044 X=-3877.85 Y=-1241.33
Time=3214096 X=-3870.87 Y=-1231.86
Time=3215049 X=-3864.04 Y=-1222.61
Time=3216156 X=-3855.54 Y=-1211.09
Time=3217216 X=-3841.32 Y=-1206.52
Time=3218214 X=-3827.61 Y=-1203.84
Time=3219249 X=-3812.3 Y=-1200.85
Time=3220316 X=-3794.83 Y=-1197.44
Time=3221363 X=-3781.54 Y=-1194.84
Time=3222351 X=-3773.27 Y=-1193.22
Time=3223377 X=-3764.3 Y=-1191.47
Time=3224414 X=-3754.34 Y=-1189.52
Time=3225484 X=-3744.5 Y=-1187.6
Time=3226474 X=-3734.21 Y=-1185.59
Time=3227433 X=-3714.32 Y=-1181.7
Time=3228471 X=-3702.32 Y=-1179.35
Time=3229522 X=-3691.12 Y=-1177.16
Time=3230568 X=-3679.74 Y=-1174.94
Time=3231613 X=-3669.49 Y=-1172.94
Time=3232641 X=-3659.96 Y=-1171.07
Time=3233618 X=-3653.19 Y=-1169.75
Time=3234635 X=-3642.38 Y=-1167.64
Time=3235713 X=-3631.3 Y=-1165.47
Time=3236763 X=-3620.64 Y=-1163.39
Time=3237807 X=-3610.23 Y=-1161.35
Time=3238793 X=-3570.53 Y=-1408.97
Time=3239810 X=-3714.62 Y=-1345.01
Time=3240818 X=-3866.58 Y=-1226.05
Time=3241830 X=-3861.1 Y=-1218.62
Time=3242830 X=-3818.18 Y=-1213.07
Time=3243923 X=-3405.36 Y=-1282.7
Time=3244922 X=-3027.86 Y=-1345.33
Time=3245957 X=-2636.76 Y=-1410.22
Time=3246978 X=-2250.82 Y=-1473.38
Time=3247990 X=-1864.79 Y=-1501.69
Time=3248991 X=-1563.37 Y=-1440.85
Time=3250068 X=-1710.11 Y=-1314.69
Time=3251102 X=-1692.8 Y=-1301.39
Time=3252150 X=-1679.97 Y=-1284.44
Time=3253173 X=-1671.82 Y=-1262.19
Time=3254244 X=-1659.8 Y=-1245.7
Time=3255286 X=-1646.35 Y=-1227.26
Time=3256337 X=-1647.09 Y=-1230.42
Time=3257329 X=-1398.14 Y=-1447.67
Time=3258254 X=-1134.55 Y=-1232.64
Time=3259391 X=-883.017 Y=-937.597
Time=3260524 X=-601.46 Y=-607.342
Time=3261517 X=-649.116 Y=-442.417
Time=3262561 X=-1018.1 Y=-288.26
Time=3263533 X=-1275.64 Y=-166.446
Time=3264584 X=-1272.27 Y=-151.647
Time=3265569 X=-1291.31 Y=-113.284
Time=3266630 X=-1513.36 Y=213.621
Time=3267610 X=-1536 Y=227.926
Time=3268644 X=-1217.75 Y=-6.85825
Time=3269709 X=-894.561 Y=-255.778
Time=3270745 X=-761.234 Y=-563.333
Time=3271804 X=-977.412 Y=-528.014
Time=3272859 X=-1170.07 Y=-830.686
Time=3273838 X=-1464.97 Y=-1054.86
Time=3274899 X=-1736.03 Y=-1342.06
Time=3275948 X=-2086.19 Y=-1535.16
Time=3277047 X=-2489.67 Y=-1638.69
Time=3278007 X=-2856.32 Y=-1666.66
Time=3279007 X=-3238.3 Y=-1695.14
Time=3280025 X=-3616.73 Y=-1699.41
Time=3281050 X=-3992.4 Y=-1714.93
Time=3282066 X=-4341.49 Y=-1784.44
Time=3283076 X=-4636.81 Y=-2032.91
Time=3284140 X=-4710.58 Y=-2183.24
Time=3285173 X=-4836.6 Y=-2381.25
Time=3286200 X=-5025.41 Y=-2450.17
Time=3287234 X=-5301.88 Y=-2294.87
Time=3288285 X=-5579.17 Y=-2586.72
Time=3289345 X=-5921.18 Y=-2778.78
Time=3290349 X=-6237.22 Y=-2792.24
Time=3291394 X=-6637.26 Y=-2805.97
Time=3292403 X=-7022.08 Y=-2785.97
Time=3293411 X=-7405.47 Y=-2751.38
Time=3294483 X=-7623.92 Y=-2641.74
Time=3295508 X=-7937.9 Y=-2527.85
Time=3296594 X=-8353 Y=-2554.98
Time=3297555 X=-8720.31 Y=-2578.99
Time=3298625 X=-9078.36 Y=-2602.4
Time=3299634 X=-9214.51 Y=-2533.71
Time=3300652 X=-9170.77 Y=-2157
Time=3301680 X=-9045.56 Y=-1900.46
Time=3302724 X=-8894.98 Y=-1530
Time=3303710 X=-8816.65 Y=-1166.49
Time=3304752 X=-8807.08 Y=-767.478
Time=3305767 X=-8804.82 Y=-378.663
Time=3306792 X=-8832.83 Y=-7.36637
Time=3307850 X=-8863.23 Y=342.971
Time=3308883 X=-8982.81 Y=718.585
Time=3309927 X=-9117.63 Y=1095.07
Time=3310970 X=-9252.33 Y=1471.18
Time=3311998 X=-9476.21 Y=1789.23
Time=3313020 X=-9730.65 Y=2086.74
Time=3314053 X=-9987.83 Y=2387.44
Time=3315089 X=-10234.7 Y=2697.91
Time=3316116 X=-10442.4 Y=2973.58
Time=3317152 X=-10681.3 Y=3290.49
Time=3318150 X=-10903.3 Y=3601.8
Time=3319213 X=-11093.4 Y=3874.87
Time=3320263 X=-11096 Y=3878.66
Time=3321256 X=-11096 Y=3878.66
Time=3322339 X=-11177.3 Y=3859.7
Time=3323281 X=-11183.5 Y=3867.36
Time=3324303 X=-11183.5 Y=3867.36
Time=3325358 X=-11183.5 Y=3867.36
Time=3326447 X=-11183.5 Y=3867.36
Time=3327411 X=-11183.5 Y=3867.36
Time=3328442 X=-11258.4 Y=4063.16
Time=3329455 X=-11249.2 Y=4249.93
Time=3330507 X=-11249.2 Y=4249.93
Time=3331535 X=-11249.2 Y=4249.93
Time=3332530 X=-11249.2 Y=4249.93
Time=3333565 X=-11249.2 Y=4249.93
Time=3334620 X=-11249.2 Y=4249.93
Time=3335771 X=-11249.2 Y=4249.93
Time=3336804 X=-11249.2 Y=4249.93
Time=3337840 X=-11249.2 Y=4249.93
