Time=265628 X=-2356.62 Y=12634
Time=266692 X=-2202.18 Y=12988.4
Time=267724 X=-2215.6 Y=12995.8
Time=268757 X=-2429.09 Y=13113.8
Time=269776 X=-2397.3 Y=13189.8
Time=270813 X=-2241.9 Y=13555.4
Time=271825 X=-2188.25 Y=13681.6
Time=272859 X=-2214.93 Y=13499
Time=273878 X=-2288.12 Y=13115.6
Time=274901 X=-2361.6 Y=12730.7
Time=275895 X=-2433 Y=12356.7
Time=276940 X=-2508.06 Y=11963.5
Time=277955 X=-2580.97 Y=11581.6
Time=278951 X=-2652.51 Y=11206.9
Time=279953 X=-2724.48 Y=10829.9
Time=280968 X=-2793.86 Y=10466.5
Time=281984 X=-2895.58 Y=10235.4
Time=283002 X=-3215.46 Y=10377.7
Time=284017 X=-3111.19 Y=10489.1
Time=285009 X=-2916.88 Y=10162.6
Time=286037 X=-2724.89 Y=9839.98
Time=287053 X=-2551.05 Y=9547.86
Time=288036 X=-2478.58 Y=9426.07
Time=289142 X=-2478.58 Y=9426.07
Time=290148 X=-2478.58 Y=9426.07
Time=291159 X=-2478.58 Y=9426.07
Time=292157 X=-2478.58 Y=9426.07
Time=293201 X=-2478.58 Y=9426.07
Time=294233 X=-2478.58 Y=9426.07
Time=295274 X=-2478.58 Y=9426.07
Time=296238 X=-2478.58 Y=9426.07
Time=297289 X=-2478.58 Y=9426.07
Time=298312 X=-2478.58 Y=9426.07
Time=299302 X=-2478.58 Y=9426.07
Time=300309 X=-2478.58 Y=9426.07
Time=301332 X=-2478.58 Y=9426.07
Time=302383 X=-2478.58 Y=9426.07
Time=303457 X=-2478.58 Y=9426.07
Time=304454 X=-2478.58 Y=9426.07
Time=305508 X=-2478.58 Y=9426.07
Time=306504 X=-2478.58 Y=9426.07
Time=307543 X=-2478.58 Y=9426.07
Time=308473 X=-2478.58 Y=9426.07
Time=309555 X=-2478.58 Y=9426.07
Time=310575 X=-2478.58 Y=9426.07
Time=311581 X=-2478.58 Y=9426.07
Time=312604 X=-2478.58 Y=9426.07
Time=313663 X=-2478.58 Y=9426.07
Time=314701 X=-2478.58 Y=9426.07
Time=315717 X=-2478.58 Y=9426.07
Time=316704 X=-2302.05 Y=9413.69
Time=317758 X=-1897.09 Y=9385.29
Time=318770 X=-1507.52 Y=9384.15
Time=319766 X=-1125.73 Y=9348.36
Time=320775 X=-742.381 Y=9280.06
Time=321812 X=-425.882 Y=9289.53
Time=322852 X=-386.656 Y=9290.97
Time=323849 X=-386.656 Y=9290.97
Time=324868 X=-386.656 Y=9290.97
Time=325909 X=-386.656 Y=9290.97
Time=326928 X=-386.656 Y=9290.97
Time=327944 X=-386.656 Y=9290.97
Time=328933 X=-386.656 Y=9290.97
Time=330022 X=-386.656 Y=9290.97
Time=331024 X=-386.656 Y=9290.97
Time=332066 X=-386.656 Y=9290.97
Time=333088 X=-386.656 Y=9290.97
Time=334099 X=-668.315 Y=9285.82
Time=335143 X=-1066.83 Y=9319.01
Time=336174 X=-1460.38 Y=9351.79
Time=337206 X=-1853.24 Y=9396.17
Time=338286 X=-2204.41 Y=9608.75
Time=339289 X=-2519.81 Y=9828.52
Time=340297 X=-2836.59 Y=10049.3
Time=341302 X=-3152.43 Y=10269.3
Time=342314 X=-3185.68 Y=10627.6
Time=343291 X=-3141.39 Y=10999.2
Time=344365 X=-3092.7 Y=11407.6
Time=345348 X=-3087.39 Y=11782.5
Time=346360 X=-3360.9 Y=11984.5
Time=347362 X=-3669.63 Y=12212.5
Time=348450 X=-3988.23 Y=12481.1
Time=349477 X=-4293.3 Y=12729.4
Time=350462 X=-4598.55 Y=12951.1
Time=351476 X=-4881.13 Y=13155.2
Time=352521 X=-5209.25 Y=13370.1
Time=353565 X=-5555.37 Y=13547
Time=354562 X=-5695 Y=13582
Time=355600 X=-5695 Y=13582
Time=356604 X=-5695 Y=13582
Time=357625 X=-5695 Y=13582
Time=358648 X=-5695 Y=13582
Time=359658 X=-5695 Y=13582
Time=360678 X=-5663.35 Y=13635.6
Time=361690 X=-5643 Y=13670
Time=362769 X=-5643 Y=13670
Time=363802 X=-5584.71 Y=13511
Time=364824 X=-5449.93 Y=13143.5
Time=365874 X=-5377.27 Y=12945.4
Time=366859 X=-5377.27 Y=12945.4
Time=367906 X=-5377.27 Y=12945.4
Time=368905 X=-5424.8 Y=13001.5
Time=369989 X=-5697.61 Y=13314.5
Time=371018 X=-5972.42 Y=13597.9
Time=372017 X=-6241.69 Y=13870.2
Time=373021 X=-6512.11 Y=14143.7
Time=374069 X=-6849.52 Y=14340.5
Time=375102 X=-7224.87 Y=14288.4
Time=376083 X=-7589.54 Y=14200
Time=377134 X=-7775.97 Y=14172.4
Time=378143 X=-7775.97 Y=14172.4
Time=379176 X=-7775.97 Y=14172.4
Time=380186 X=-7775.97 Y=14172.4
Time=381214 X=-7775.97 Y=14172.4
Time=382214 X=-7775.97 Y=14172.4
Time=383237 X=-7775.97 Y=14172.4
Time=384278 X=-7775.97 Y=14172.4
Time=385314 X=-7775.97 Y=14172.4
Time=386357 X=-7775.97 Y=14172.4
Time=387378 X=-7775.97 Y=14172.4
Time=388415 X=-7775.97 Y=14172.4
Time=389408 X=-7775.97 Y=14172.4
Time=390474 X=-7775.97 Y=14172.4
Time=391492 X=-7775.97 Y=14172.4
Time=392521 X=-7775.97 Y=14172.4
Time=393529 X=-7775.97 Y=14172.4
Time=394528 X=-7775.97 Y=14172.4
Time=395546 X=-7775.97 Y=14172.4
Time=396543 X=-7775.97 Y=14172.4
Time=397648 X=-7775.97 Y=14172.4
Time=398651 X=-7775.97 Y=14172.4
Time=399669 X=-7775.97 Y=14172.4
Time=400676 X=-7775.97 Y=14172.4
Time=401716 X=-7775.97 Y=14172.4
Time=402714 X=-7775.97 Y=14172.4
Time=403743 X=-7775.97 Y=14172.4
Time=404768 X=-7775.97 Y=14172.4
Time=405811 X=-7775.97 Y=14172.4
Time=406836 X=-7775.97 Y=14172.4
Time=407821 X=-7775.97 Y=14172.4
Time=408934 X=-7775.97 Y=14172.4
Time=409933 X=-7775.97 Y=14172.4
Time=410958 X=-7775.97 Y=14172.4
Time=411990 X=-7775.97 Y=14172.4
Time=412981 X=-7775.97 Y=14172.4
Time=414030 X=-7680.74 Y=14354.1
Time=415046 X=-7397.82 Y=14621.3
Time=416060 X=-7185.91 Y=14821.5
Time=417066 X=-7185.91 Y=14821.5
Time=418102 X=-7185.91 Y=14821.5
Time=419087 X=-7236.24 Y=14927.8
Time=420114 X=-7378.01 Y=15256.6
Time=421133 X=-7423 Y=15361
Time=422167 X=-7423 Y=15361
Time=423172 X=-7423 Y=15361
Time=424187 X=-7423 Y=15361
Time=425208 X=-7423 Y=15361
Time=426226 X=-7423 Y=15361
Time=427251 X=-7427.44 Y=15398.7
Time=428263 X=-7501.41 Y=15760
Time=429291 X=-7580.38 Y=16145.8
Time=430307 X=-7632.72 Y=16060.7
Time=431317 X=-7713.95 Y=15682.5
Time=432345 X=-7796.63 Y=15297.5
Time=433378 X=-7879.7 Y=14910.6
Time=434396 X=-7961.58 Y=14529.4
Time=435366 X=-7993.91 Y=14378.8
Time=436435 X=-7901.33 Y=14227.2
Time=437426 X=-7895.66 Y=14218.1
Time=438451 X=-7963.77 Y=13847
Time=439472 X=-8010.87 Y=13458.8
Time=440458 X=-8054.9 Y=13083.7
Time=441495 X=-8101.21 Y=12689.2
Time=442449 X=-8143 Y=12333.1
Time=443523 X=-8143 Y=12333.1
Time=444520 X=-8143 Y=12333.1
Time=445531 X=-8143 Y=12333.1
Time=446552 X=-8143 Y=12333.1
Time=447557 X=-8143 Y=12333.1
Time=448594 X=-8143 Y=12333.1
Time=449576 X=-8143 Y=12333.1
Time=450621 X=-8126.64 Y=12384.8
Time=451635 X=-8050.49 Y=12666.7
Time=452644 X=-8015.94 Y=12794.6
Time=453647 X=-8015.94 Y=12794.6
Time=454668 X=-8062.12 Y=12598.3
Time=455723 X=-8191.88 Y=12219
Time=456718 X=-8406.27 Y=11903.9
Time=457789 X=-8671.62 Y=11591.3
Time=458796 X=-8924.8 Y=11300.3
Time=459843 X=-8824.49 Y=11415.6
Time=460860 X=-8568.79 Y=11709.5
Time=461871 X=-8331.1 Y=12014.4
Time=462900 X=-8141.69 Y=12314.3
Time=463935 X=-8141.37 Y=12315.7
Time=464935 X=-8141.37 Y=12315.7
Time=465933 X=-8297.99 Y=12052.8
Time=466935 X=-8534.61 Y=11750.8
Time=467988 X=-8801.97 Y=11448.8
Time=468973 X=-9052.07 Y=11166.3
Time=470015 X=-9316.64 Y=10867.5
Time=471022 X=-9570.18 Y=10581.1
Time=471736 X=-9709.13 Y=10424.2
Time=473172 X=-10073.7 Y=10012.3
